text,urgency
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
No hay prisa para resolver este asunto.,Baja
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
No hay prisa para resolver este asunto.,Baja
No hay prisa para resolver este asunto.,Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
No hay prisa para resolver este asunto.,Baja
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"La situación puede esperar, pero sería conveniente atenderla pronto.",Moderada
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
No hay prisa para resolver este asunto.,Baja
"Esto es urgente, necesito una solución ya.",Alta
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"La situación es crítica, es necesaria una acción inmediata.",Alta
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Esto es urgente, necesito una solución ya.",Alta
No hay prisa para resolver este asunto.,Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"Se requiere una respuesta urgente, no puede esperar más.",Alta
Podrían mejorar este problema cuando les sea conveniente.,Baja
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
Podrían mejorar este problema cuando les sea conveniente.,Baja
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
Este problema debe resolverse de forma urgente.,Alta
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
Podrían mejorar este problema cuando les sea conveniente.,Baja
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
Este problema debe resolverse de forma urgente.,Alta
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"La situación puede esperar, pero sería conveniente atenderla pronto.",Moderada
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"Se requiere una respuesta urgente, no puede esperar más.",Alta
Podrían mejorar este problema cuando les sea conveniente.,Baja
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Esto es urgente, necesito una solución ya.",Alta
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
No hay prisa para resolver este asunto.,Baja
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
No hay prisa para resolver este asunto.,Baja
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
Este problema debe resolverse de forma urgente.,Alta
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
No hay prisa para resolver este asunto.,Baja
"Esto es urgente, necesito una solución ya.",Alta
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"La situación es crítica, es necesaria una acción inmediata.",Alta
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
No hay prisa para resolver este asunto.,Baja
"Se requiere una respuesta urgente, no puede esperar más.",Alta
Podrían mejorar este problema cuando les sea conveniente.,Baja
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
Podrían mejorar este problema cuando les sea conveniente.,Baja
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Esto no es importante, puede ser atendido cuando haya tiempo.",Baja
No hay prisa para resolver este asunto.,Baja
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Esto es urgente, necesito una solución ya.",Alta
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Esto es urgente, necesito una solución ya.",Alta
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
"La situación puede esperar, pero sería conveniente atenderla pronto.",Moderada
"Esto es urgente, necesito una solución ya.",Alta
"Este problema no es grave, lo pueden atender cuando quieran.",Baja
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"La situación es crítica, es necesaria una acción inmediata.",Alta
"No es urgente, pueden atender esto cuando haya disponibilidad.",Baja
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"Mejorar este proceso sería bueno, aunque no es prioridad.",Moderada
"El problema no es crítico, lo pueden revisar cuando tengan tiempo.",Baja
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"No puedo seguir esperando, necesito que esto se solucione ahora mismo.",Alta
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Sería recomendable solucionar este problema, aunque no es urgente.",Moderada
"Se requiere una respuesta urgente, no puede esperar más.",Alta
"Sería útil mejorar este aspecto, aunque no es urgente.",Moderada
Podrían mejorar este problema cuando les sea conveniente.,Baja
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
Podrían mejorar este problema cuando les sea conveniente.,Baja
No hay prisa para resolver este asunto.,Baja
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Esto es urgente, necesito una solución ya.",Alta
"Podría mejorar este aspecto, pero no es algo que necesite ser resuelto ahora mismo.",Moderada
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
Este problema debe resolverse de forma urgente.,Alta
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
"Es inaceptable esperar tanto, resuelvan esto de inmediato.",Alta
"La situación es crítica, es necesaria una acción inmediata.",Alta
"Esto podría resolverse más rápido, pero no es algo crítico.",Moderada
